"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"AAS","3351","Asian Americans and Popular Culture","Twin Cities","Over the past few decades, Asian Americans have become increasingly visible both as the subjects and producers of popular culture in the United States. This course will explore how this new recognition of Asian Americans in popular literature, cinema, television, and entertainment is related both to longer histories of Asian immigration and racial exclusion and to post-1960s efforts to forward racial awareness, community activism, and social justice. Our first unit will look at how particular stereotypes such as the yellow peril or the wartime enemy encouraged anti-Asian feeling and violence and legal restrictions on immigration and naturalization. We will then examine how throughout history, Asian immigrants and their descendants used song, dance, theater, writing, and other forms of popular culture to express personal desires and foster collective ties. Our final unit concentrates on contemporary popular culture and its relationship to the changing identities of Asian Americans. How do Asian Americans influence the current essays, films, and videos that are consumed by millions today? How are increasingly pan-ethnic, interracial, multiracial, transnational, and global experiences reflected in popular culture?","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AAS","3361","Asian Americans and Food","Twin Cities","Asian Americans have always been intimately connected to food practices and institutions in the American imagination. Food is the medium through which Asian American cultural difference—including their status as ""perpetual foreigners"" or their ""model minority character""—are typically expressed and disseminated. Historically, Asian migration to the United States was fueled by labor needs particularly in the agricultural sector. In addition, Asian labor has been stereotypically linked to food service and preparation such as the ubiquitous Chinese take-out place and more recently, the sushi and Korean fusion joints. This course is an introduction to the interdisciplinary study of food to better understand the historical, social, and cultural aspects of Asian American food preparation, distribution and consumption. Students will investigate the politics and poetics of Asian American foodways by examining social habits, and rituals around food in restaurants, homes, and other public venues.  The course texts include ethnographic essays, fictional works, memoirs, magazines, and television shows.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AAS","3409W","Asian American Women's Cultural Production","Twin Cities","This course explores cultural texts produced by and about Asian American women and queers. It wrestles with the complexities of a historical moment in which Asian American women are both increasingly visible in pop culture and increasingly visible targets of violence. We will push beyond judgments of “positive” or “negative” representations of Asian Americans and instead explore the political dimensions of these cultural representations—that is, how they animate, reference, or repress longer histories of migration, war, labor, and empire. We will approach the categories of both “Asian American” and “women” less as static identities and more as shifting political coalitions that bring together diverse groups of people whose experience of gender, sexuality, race, and class deviates from the norm of white, heterosexual, and cisgender American citizenship. In tracking (and at times celebrating) these deviations, we will ask: how might film, TV, literature, art, and theory help illuminate Asian American feminist politics?","3","3","No","1","3","OPT - Student Option","-","Every Fall"
"AAS","3483","Hmong History Across the Globe","Twin Cities","Hmong interaction with lowland Southeast Asian states (Laos, Vietnam) and Western colonial powers (French, American) since 19th century. Changes to religious, social, political, and gender institutions. Aspirations for political autonomy.","3","3","No","1","3","OPT - Student Option","-","Fall Odd, Spring Even Year"
"AAS","3486","Hmong Refugees from the Secret War:  Becoming Americans","Twin Cities","Socio-economic, political, gender, cultural/religious changes in Hmong American community during last three decades. How Hmong are racialized in American society. Impact to first/second generations.","3","3","No","1","3","OPT - Student Option","-","Spring Odd Year"
"AAS","3503","Asian American Identities, Families, & Communities","Twin Cities","This course provides a sociological overview of Asian American identities, families and communities. To place these experiences within a broader historical, structural, and cultural context the course will begin with a brief introduction to the history of Asians and Asian Americans in the United States and sociological theories about incorporation and racial stratification. We will then examine the diversity of Asian American communities and families, highlighting ethnic, gender, and class variations. Other topics of focus include racialization and discrimination, education, ethnic enclaves, family and intergenerational relationships, identity, media, culture, and politics and social action. Throughout the course we will consider the ways in which society affects individuals, and how in turn, individuals affect society. Students will have an option to do community-engaged learning or another course project.","3","3","No","1","3","AFV - A-F or Audit","-","Periodic Spring"
"AAS","3601W","War and Empire: Asian American Perspectives","Twin Cities","This course examines the reach of war and empire in Asian America since the turn of the twentieth century. Starting with US wars in the Philippines (1898-1910) and the formation of the colonial state, the course will track the ascendancy of US empire in Asia and paths toward wars against imperialist Japan (1941-1945), in Korea (1950-53), and in Vietnam (1955-1975). The course will address the relevance of the unending Global War on Terrorism (2001-) in contemporary Asian America. Together, the course explores how these wars have shaped and continue to inform the lives and memories of Asian immigrants and refugees, their children, and other Asian Americans.","3","3","No","1","3","OPT - Student Option","-","Periodic Spring"
"AAS","3862","American Immigration History","Twin Cities","The United States has frequently been called a “nation of immigrants,” yet despite this celebratory view of the U.S.’s immigrant origins, present-day immigration often provokes fear, anxiety, and resistance. Indeed, immigrants have rarely been truly welcomed in any historical era. This course will examine the history of immigration to, and migration within, the United States from the colonial era to the present, including forced migrations, such as the African slave trade.

We will consider the full range of the migration experience, including what compelled or inspired people to leave their homelands, the means of their migration, and how they settled in their new homes. In addition, we will look at the cultural transformations precipitated by immigration including the creation of ethnic identities, assimilation, and transculturation. Various forms of nativist sentiment and practice will be addressed, as well as migrant and ethnic resistance to nativism, racism, and exploitation.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall & Spring"
"AAS","3875W","Comparative Race and Ethnicity in U.S. History","Twin Cities","This writing-intensive course examines the racial history of modern America. The focus is placed on how American Indians, African Americans, and immigrants from Europe, Asia, and Latin America struggle over identity, place, and meanings of these categories in society where racial hierarchy not only determined every aspect of how they lived, but also functioned as a lever to reconstitute a new nation and empire in the aftermath of the Civil War. We are interested in studying how these diverse groups experienced racialization not in the same way but in various and distinct ways in relation to each other.","3","3","No","1","3","AFV - A-F or Audit","-","Periodic Fall & Spring"
"AAS","3877","Asian American History, 1850 to Present","Twin Cities","Asian American history and contemporary issues, from 1850 to present. Immigration, labor, anti-Asian movements, women/families, impact of World War Two, new immigrant/refugee communities, civil rights, Asian American identity/culture.","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"AAS","3920","Topics in Asian American Studies","Twin Cities","Topics specified in Class Schedule.","2","4","Yes","2","8","OPT - Student Option","-","Every Fall & Spring"
"AAS","3993","Directed Studies in Asian American Studies","Twin Cities","Guided individual reading or study.

prereq: instr consent","1","9","No","1","9","OPT - Student Option","-","Every Fall, Spring & Summer"
"AAS","4231","Color of Public Policy: African Americans, American Indians, Asian Americans & Chicanos in the U.S.","Twin Cities","Structural or institutional conditions through which people of color have been marginalized in public policy. Critical evaluation of social theory in addressing the problem of contemporary communities of color in the United States.","3","3","No","1","3","OPT - Student Option","-","Periodic Fall"
"AAS","4232","American Drama by Writers of Color","Twin Cities","This course will concentrate on selected works by African American, Native American, Asian American, and Latinx playwrights. We will look at how scholars, popular media, and individual spectators interpret and understand the works of these artists, their aesthetic form, and their philosophical and cultural contexts, and will develop a broader critical vocabulary and aesthetic criteria for evaluating contemporary arts. Our central question will be how racial and ethnic differences are integral to shaping different visions of “American theater.” We will also examine larger issues such as the history of minority and ethnic theaters, the politics of casting, and the “mainstreaming” of playwrights of color.","3","3","No","1","3","AFV - A-F or Audit","-","Periodic Fall & Spring"
"AAS","4311","Asian American Literature and Drama","Twin Cities","Literary/dramatic works by Asian American writers. Historical past of Asian America through perspective of writers such as Sui Sin Far and Carlos Bulosan. Contemporary artists such as Frank Chin, Maxine Hong Kingston, David Henry Hwang, and Han Ong. Political/historical background of Asian American artists, their aesthetic choices.","3","3","No","1","3","AFV - A-F or Audit","-","Fall Odd Year"
"AAS","5993","Directed Readings","Twin Cities","Directed reading--must be set up with individual instructor.","1","4","Yes","2","8","OPT - Student Option","-","Periodic Fall"
"ABUS","3029W","Writing Workshop for Applied & Professional Studies Majors","Twin Cities","Writing is omnipresent throughout Applied and Professional Studies (APS) courses; nearly all require some form of written product and assess students in some way through their writing ability. Focusing on in-depth instruction, constructive feedback, and hands-on experience, this 7-week writing workshop is designed for students who find themselves struggling with writing concepts in their other classes or who want more writing practice to refine and hone their existing skills. Students will learn to understand writing expectations in their disciplines and develop techniques for brainstorming, organizing, outlining, and researching. Students will also practice the drafting process, focusing on mastering business grammar, avoiding common mistakes, and cultivating a clear and concise style. Students will learn the components of clear structure such as transitioning between ideas, logical organization, and integrating research. Students will also develop reliable editing techniques to test their own writing for clarity, logic, and appropriate tone, as well as methods for thinking through critical feedback and incorporating changes into revisions of existing documents.   Students must be enrolled in a CCAPS undergraduate major (premajor status is allowed). ","2","2","No","1","2","A-F - A-F Grade Basis","000042","Every Fall & Spring"
"ABUS","3051","Career Search for the Professional Environment","Twin Cities","An introduction to the nuts and bolts of job search strategies, including résumé writing, interviewing, networking, and the use of technology and the Internet in job seeking. You will begin to make realistic decisions about what kinds of jobs and work environments will best suit you after graduation and into the future, and formulate a concrete plan for how to attain this important career goal. In addition, you will have an understanding of the professional environment of business. This will include appropriate on-the-job behavior and how knowledge of corporate culture, communication, and etiquette can make the difference between struggling in the business world and succeeding and advancing. Professional presentation, dress, and communication are highlighted. Assignments will focus on practical and applied knowledge relating to career-oriented skills, exploration, and success. Prerequisites: None, but upper-division status recommended.","2","2","No","1","2","OPT - Student Option","-","Every Fall, Spring & Summer"
"ABUS","3052","Career Building in the Remote Gig Economy","Twin Cities","Businesses are shifting from full-time permanent employment models to a greater reliance on short-term contract work and freelance projects. This trend is referred to as the emerging ""gig economy."" Already, more than one in three people earn a full or partial income from leveraging this evolving marketplace. In 2019, Amazon announced plans to hire over a thousand remote customer service reps. Technical coders, freelance photographers, consultants, bloggers, rideshare contractors, career coaches, and online affiliate marketers are just a few among many remote gig opportunities experiencing rapid growth. This course examines the structure of a remote gig economy and corresponding career opportunities. Students will develop a deep understanding of the current gig landscape, develop initiatives and self-direction tactics to meet its needs, and leave armed to succeed in a growing remote gig economy. Activities are centered around obtaining work in the gig economy and being an exceptional remote ""gigger"" as an individual contributor. Additionally, students will learn how to parlay those talents into endless career path opportunities, including leadership and management roles in a quickly evolving, exciting workplace.

Prerequisites: None","2","2","No","1","2","OPT - Student Option","-","Every Fall & Spring"
"ABUS","3053","Planning Your Financial Future","Twin Cities","The focus of this course is financial literacy and financial well-being. This course will provide a personal financial foundation from your first day on the job through retirement. Basic financial information will help you decide how to participate in employee benefits tailored to your goals. You will explore your risk tolerance and creditworthiness. You will complete a personal budgeting and retirement plan using the tools and resources provided. ","2","2","No","1","2","AFV - A-F or Audit","-","Every Fall & Spring"
"ABUS","3201","Digital Design Strategies for Small Business","Twin Cities","Basics of multi-platform strategies to promote small businesses or a personal brand. Primary concepts include developing a cross-platform digital presence, creating brand identity, analyzing strategy effectiveness, and researching the competition. Students will work to develop a complete digital strategy for their own small business or personal brand by working both individually and in groups to find creative solutions for reaching their target audience in today's market. 
Prerequisites:  None.","4","4","No","1","4","AFV - A-F or Audit","-","Every Fall & Spring"
"ABUS","3301","Introduction to Quality Management","Twin Cities","Principles/concepts of managing quality in business applications. Improving business processes with six sigma method. Implementing/leading process improvement. Baldrige Award, ISO 9000.

prereq: Introductory statistics","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall & Spring"
"ABUS","3510","Communicating Virtually Across Global Teams in Applied Business Settings","Twin Cities","Collaborative exploration of virtual communication within teams/across cultures. Impact of technologies on global business/societies. Virtual team functioning/dynamics. Influence of cultural perspective on communication within  group. Role of communication technology in cultural development. Ethical/legal implications.","4","4","No","1","4","AFV - A-F or Audit","-","Every Fall"
"ABUS","3950","Special Topics in Applied Business","Twin Cities","Management issues in a changing workplace. Topics vary.","1","3","Yes","3","9","OPT - Student Option","-","Periodic Fall, Spring & Summer"
"ABUS","4013W","Legal, Ethical, and Risk Issues for Managers","Twin Cities","Key legal, ethical, and risk frameworks in business activity and civic life. Students will identify areas of exposure within their specific industry and learn about best practices to minimize legal liability and manage risk. The writing-related instruction is designed to develop effective management-level communication skills regarding legal, ethical, and other risks and to develop a thoughtful analytical approach to addressing real-world risks.
  
prereq: CMgt 4011 recommended for CMgt students, 45 semester credits","3","3","No","1","3","AFV - A-F or Audit","000217","Every Fall & Spring"
"ABUS","4014","Ethical AI and Data Privacy in Business","Twin Cities","As AI becomes more pervasive, understanding its ethical dimensions and data privacy implications is paramount. This course examines critical issues such as algorithmic bias, fairness, transparency, accountability, and the responsible use of AI. It also covers key data privacy regulations (e.g., GDPR, CCPA) and best practices for ensuring compliance in AI system design and deployment.
Prerequisites:  None","2","2","No","1","2","AFV - A-F or Audit","-","Every Fall & Spring"
"ABUS","4015","AI Project Management:  Leadership & Implementation","Twin Cities","This course provides a practical framework for managing AI projects from conception to deployment and maintenance. Topics include defining AI project scope, agile methodologies for AI development, team collaboration, change management, and evaluating the success and ROI of organizational AI initiatives. Students will work on case studies to simulate real-world AI project challenges.
Prerequisites: None","2","2","No","1","2","AFV - A-F or Audit","-","Every Fall & Spring"
"ABUS","4022W","Strategic Management and Leadership","Twin Cities","ABUS 4022W, Strategic Management and Leadership, brings together key elements from real-world practical experience and academic theoretical study to broaden the student’s understanding of management and leadership in organizations. Topical areas covered include:

*Demands on today’s leaders.
*Strategic management principles, tools, and techniques.
*Leadership dynamics in all organizations and industries: small to large, for-profit, not-for-profit, and government.
*Classical management theory at all levels as well as more advanced theory for high-performing organizations.
*Classical management functions including Planning, Organizing, Leading/Motivating, and Controlling/Evaluating organizational activities.
*Strategic planning and organizational objective setting, including strategic positioning assessment.

As this is a Writing Intensive-designated course, another primary goal in this class is to learn to write and communicate more effectively. Writing is an integral component of the workplace, especially as it relates to leadership, so being an effective writer and communicator are core responsibilities of successful organizational leaders. As a leader, your vision and ideas are only as powerful as your ability to clearly articulate them.  Whether you are developing a strategic plan, conducting a market or competitive analysis, or attempting to gain consensus from a diverse group of stakeholders, writing is the mechanism by which you will support organizational growth and development. Leaders must be able to effectively articulate their ideas, often through writing, to diverse groups of stakeholders, including colleagues, employees, customers, strategic partners, and the community in which the organization operates.  Collaboration requires communication.     

In this course, writing is not an afterthought. Writing will help you learn about strategy and leadership because writing is integral to how strategy and leadership actually work in the real world. Organizational leaders spend an inordinate amount of time writing internal business memos and emails, analytical reports, performance reviews, job descriptions, market assessment reports, and comprehensive strategic plans and implementation strategies. This course will prepare you for the writing responsibilities that you will encounter as you leave university and continue your development as the next generation of leaders.  

Writing is something that we often take for granted, but in this course, we will focus on principles that will help students convey their ideas through writing to others in a more concise, concrete, and clear manner. Students will learn to break old habits and acquire new ones. Ultimately, students will leave ABUS 4022W with enhanced leadership skills, a toolkit of strategic management models and principles, and strengthened workplace communication abilities. 

prereq: 45 credits completed. Students will have better success if they have successfully taken and completed a technical writing or English composition course at the University level and can apply good writing techniques in this class.","3","3","No","1","3","OPT - Student Option","-","Every Fall, Spring & Summer"
"ABUS","4023W","Communicating for Strategic Results","Twin Cities","Aspects of communication essential for being persuasive/influential. Organizing/presenting ideas effectively, strategies for audience analysis, choosing communication methods, making appropriate use of informal influence methods, handling dissent. Processes for intercultural communication. The primary goal of the course is to learn to communicate more effectively, both in the workplace and in personal life. We usually take communicating with others for granted, but in this course, we will focus on principles that will help convey ideas  in a more concise, concrete, and clear manner. Students will learn by doing how to break old habits and acquire new ones. This will involve a lot of writing, working with a team of peers and learning from each other as well as the instructor. The entire approach to the class is collaborative.

prereq: 45 cr recommended","3","3","No","1","3","OPT - Student Option","-","Every Fall, Spring & Summer"
"ABUS","4026","Guiding Public Perception in Business","Twin Cities","A wise person once said, “Advertising is telling about yourself; public relations is having others tell about you.” So, how are you going to get others to tell positive stories about your organization, whether it be a large company, a small start-up, or a government? Of course you will use both traditional and nontraditional tools. But first, you must craft a story. This course is about how you craft stories, and where you tell them, to create an optimal effect.","2","2","No","1","2","OPT - Student Option","-","Every Fall & Spring"
"ABUS","4027","Core Technologies for the Business Professional","Twin Cities","Unlock the future of business with this dynamic, real-world course that dives into the game-changing software and technological innovations revolutionizing today’s industries. Discover how emerging technologies are reshaping business strategies, streamlining processes, and driving competition to new heights. Through immersive activities, you’ll master the practical applications of cutting-edge tools, including:
•	Process Automation—Slash inefficiencies and boost productivity.
•	Business Intelligence & Data Analytics—Turn data into actionable insights.
•	Customer Relationship Management—Build lasting connections with clients.
•	Project Management—Lead teams to success with seamless organization.
•	Finance, Accounting, & Business Planning—Plan and profit like a pro.
•	Collaboration & Communication—Work smarter with next-gen tools.
•	Artificial Intelligence & Machine Learning—Harness the power of tomorrow’s tech today.

Get ready to step into the workforce with confidence, armed with the skills to thrive from day one. This course isn’t just a class—it’s your launchpad to a career where you’ll shape the future of business.","2","2","No","1","2","OPT - Student Option","-","Every Fall & Spring"
"ABUS","4028","Introduction to Excel Analytics for Business Decision-Making","Twin Cities","This is an introductory, overview course in data analytics and its core themes. Designed specifically for business professionals who are new to data analysis or who have never used Excel to parse and understand business data. This approachable, hands-on course offers guided, step-by-step instruction on using Microsoft Excel as a powerful tool for making informed, real-world decisions. You’ll explore the four key functions of data analytics—description, diagnosis, prediction, and prescription (what should we do next?) through engaging conversations, quizzes, reflective writing, and a phased, practical final project (instead of a final exam). This course is crafted to help you connect data to decisions in ways that support your work or personal goals, all without requiring any previous experience with analytics or Excel.","4","4","No","1","4","AFV - A-F or Audit","-","Every Fall & Spring"
"ABUS","4029","Project Management Certification Preparation","Twin Cities","This course focuses on key concepts and tools of project management and prepares students for the project management certification exams. The content deals with initiating, planning, executing, monitoring, and closing projects in a variety of sectors, both industrial and service organizations. 

This course is ideal for students who want to bolster their resume with a credential that demonstrates a commitment to a career in project management. Although the primary emphasis is on the project management processes and tools, this course will also prepare the students for the Project Management Institute (PMI) exam to obtain a key certification: Certified Associate in Project Management (CAPM). ","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"ABUS","4041","Dynamics of Leadership","Twin Cities","Successful leadership via flexible approach. Knowledge, skills, and abilities that leaders develop from eight leadership strategies: academic, bureaucratic, eclectic, economic, fellowship, military, political, social. Ways to lead diverse populations in a global environment.

prereq: 45 cr completed","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall, Spring & Summer"
"ABUS","4043","Project Management in Practice","Twin Cities","Introduction to project management: tools and techniques for defining, scheduling, and managing a project. Learn about team development and ways to enhance team performance through planning and executing a project. Requires use of MS Project, which will be made available to students without cost via download.

prereq: 45 cr completed","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall & Spring"
"ABUS","4101","Accounting and Finance for Managers","Twin Cities","Cost accounting concepts. Cost behavior. Management decision making using cost data. Time value of money. Cost of capital. Capital budgeting techniques. Financial statement analysis. Assignments draw on business/industry examples.

prereq: Financial accounting, 45 cr","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall, Spring & Summer"
"ABUS","4104","Management and Human Resource Practices","Twin Cities","Providing day-to-day leadership. Organizing work, motivating employees. Delegating, coordinating, and achieving results. Front line human resource practices, including selection, induction, and training of new employees, employee appraisal. Handling grievances/discipline.

prereq: 45 cr completed","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall & Spring"
"ABUS","4105","Becoming an Authentic Leader in an Applied Business Setting","Twin Cities","Students will gain proficiency in various leadership modalities within a self-reflective framework. They will learn to build their own authentic leadership capabilities as well as assess those of fellow leaders across individual, group, and organization levels. Assignments will examine temperament and decision-making, goal setting and personal beliefs, change-making and coping with pressure, and developing personal strengths and professional authenticity.

Prerequisites:  None","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"ABUS","4106","Scandals versus Best Practices: Business Ethics in the Real World","Twin Cities","This course focuses on the impact of business ethics decisions with the goal of helping students develop a personal business ethics philosophy. Decisions are explored by studying current real-world cases embodying particular business constructs: stakeholders, corporate responsibility, sustainability, information sharing, organizational culture, global business, and leadership. Students will evaluate important historical decision-making variables and develop their own set of values. The course will go beyond theory to examine the ways that ethical decisions both challenge and benefit businesses, looking at both poor (scandals) versus good (best practices) decision-making.","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall & Spring"
"ABUS","4107","The Trauma-Informed Workplace","Twin Cities","A global pandemic, civil uprising, police-based violence, economic and climate instability are things that impact all of us. The ability to sustain oneself and better understand the “why” of the behavior of those around us is of critical importance to bridge gaps of connection and build workplace relationships in support of a healthy and productive organizational culture. Leaders and managers who understand the mental, emotional, and physical symptoms that indicate a lack of focus can create work environments that better engage and support employees. This course assists leaders and managers in understanding the science of stress responses in themselves and their employees to create trauma-informed workplaces. ","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall & Spring"
"ABUS","4108","Personal Ethics and Decision Making","Twin Cities","This course focuses on personal ethical decision-making and applies ethical concepts to decisions we make in our personal and professional lives. It explores why ethical thinking is valuable through recognizing ethical dilemmas in real life. It will look at underlying core values, ethical principles, ethical paradigms, and the difference between right versus wrong and right versus right thinking. Students will work with a checklist for ethical decision-making and learn to recognize ethical characteristics in their organizations.","3","3","No","1","3","AFV - A-F or Audit","-","Every Fall & Spring"
"ABUS","4151","Innovation for Leaders and Organizations","Twin Cities","Innovation as cornerstone of knowledge economy. History of innovation process, importance to individuals/organizations. Strategies to foster innovation. Responsibilities in innovation skill-building/leadership.

prereq: 45 cr","3","3","No","1","3","AFV - A-F or Audit","000217","Every Spring"
